Archivo de Entrada;Tiempo Codificación;Tiempo Decodificación;Tiempo Compresión;Tiempo Descompresión
english10kb.txt;0;0;2;0
english1MB.txt;48;44;5925;6
english5MB.txt;249;230;32195;31
english10MB.txt;523;456;67719;65
english20MB.txt;1027;887;133216;128
english10kb.txt;0;0;2;0
english1MB.txt;48;44;5966;6
english5MB.txt;247;222;32226;30
english10MB.txt;522;468;67757;64
english20MB.txt;1023;911;133268;130
english10kb.txt;0;0;2;0
english1MB.txt;48;44;5984;6
english5MB.txt;247;235;32405;30
english10MB.txt;522;449;67477;65
english20MB.txt;1021;888;132640;129
english10kb.txt;0;0;2;0
english1MB.txt;48;44;5920;6
english5MB.txt;245;218;32255;31
english10MB.txt;524;461;68579;65
english20MB.txt;1028;887;134150;133
english10kb.txt;0;0;2;0
english1MB.txt;50;44;6014;6
english5MB.txt;250;218;32473;30
english10MB.txt;521;460;67427;64
english20MB.txt;1026;883;132275;127
english10kb.txt;0;0;2;0
english1MB.txt;48;44;5905;6
english5MB.txt;246;221;32147;30
english10MB.txt;518;460;67246;64
english20MB.txt;1020;887;132342;126
english10kb.txt;0;0;2;0
english1MB.txt;48;44;5901;6
english5MB.txt;246;221;32016;31
english10MB.txt;519;451;67375;64
english20MB.txt;1034;897;132607;127
english10kb.txt;0;0;2;0
english1MB.txt;48;43;5888;6
english5MB.txt;246;217;32169;30
english10MB.txt;521;459;67315;64
english20MB.txt;1021;880;132409;128
english10kb.txt;0;0;2;0
english1MB.txt;48;43;5968;6
english5MB.txt;247;226;32102;30
english10MB.txt;518;461;67279;65
english20MB.txt;1014;899;132332;130
english10kb.txt;0;0;2;0
english1MB.txt;48;44;5901;6
english5MB.txt;246;225;32119;30
english10MB.txt;520;455;67337;65
english20MB.txt;1018;889;133754;130
english10kb.txt;0;0;2;0
english1MB.txt;49;45;5960;6
english5MB.txt;248;221;32784;32
english10MB.txt;531;470;68950;65
english20MB.txt;1044;904;135640;129
english10kb.txt;0;0;2;0
english1MB.txt;49;44;6069;6
english5MB.txt;251;219;33060;31
english10MB.txt;597;477;69082;66
english20MB.txt;1032;904;135816;130
english10kb.txt;0;0;2;0
english1MB.txt;49;44;6113;6
english5MB.txt;257;219;32875;31
english10MB.txt;537;490;69407;65
english20MB.txt;1041;897;136932;134
english10kb.txt;0;0;2;0
english1MB.txt;50;49;6183;6
english5MB.txt;252;223;32866;31
english10MB.txt;532;467;69314;70
english20MB.txt;1037;912;135640;129
english10kb.txt;0;0;2;0
english1MB.txt;49;45;5993;6
english5MB.txt;249;226;33017;31
english10MB.txt;530;454;68881;65
english20MB.txt;1042;905;133810;128
english10kb.txt;0;0;2;0
english1MB.txt;49;45;5944;6
english5MB.txt;247;225;32260;31
english10MB.txt;526;459;67957;65
english20MB.txt;1026;909;133554;130
english10kb.txt;0;0;2;0
english1MB.txt;48;49;5929;6
english5MB.txt;254;221;32944;31
english10MB.txt;588;474;68185;64
english20MB.txt;1028;898;134911;130
english10kb.txt;0;0;2;0
english1MB.txt;48;44;5939;6
english5MB.txt;248;222;32534;31
english10MB.txt;526;458;68113;68
english20MB.txt;1021;897;133582;130
english10kb.txt;0;0;2;0
english1MB.txt;48;44;5934;6
english5MB.txt;248;225;32169;30
english10MB.txt;523;446;67849;64
english20MB.txt;1025;902;132973;131
english10kb.txt;0;0;2;0
english1MB.txt;48;44;6103;6
english5MB.txt;247;229;32207;31
english10MB.txt;526;464;67765;65
english20MB.txt;1041;883;133015;127
